%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
233.0, -1745.8724076595793, -1510.4861868007406, -2967.4175938865656, 1185.7376916095843, 3057.6068827637296, 3165.856381160782, 182.43493824421626, -5084.977160093446, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770773035E9, 0.0, 2023-11-21 09:59:30.773
234.0, -1734.7412389208364, -1499.1091488729894, -2960.466201360965, 1187.23525848809, 3057.4504205525427, 3167.6445207172064, 185.67594119023576, -5080.104479802189, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057877077305E9, 0.0, 2023-11-21 09:59:30.773
235.0, -1734.9871081098447, -1518.9351462048467, -2970.792707299317, 1185.6259328873077, 3062.680728755084, 3167.53276199493, 186.83823190191174, -5078.070471056756, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770773059E9, 0.0, 2023-11-21 09:59:30.773
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770839281E9, 0.0, 2023-11-21 09:59:30.839
1.0, -1613.885356650991, -1449.3541657154758, -3109.977020022514, 1154.8028772834393, 3495.7234258322032, 3372.699424350193, 172.28724626150685, -4448.667698939765, -0.14, 0.122, 0.924, 192.0, 251.0, 160.0, 3.0, 208.0, 28.0, 224.0, 0.0, 0.0, 0.0, 1.700578770855299E9, 0.0, 2023-11-21 09:59:30.855
2.0, -1608.7221036818153, -1443.3415464569982, -3101.7739298074166, 1158.490915118565, 3494.315265931519, 3370.8218778159476, 171.1696590387415, -4451.64048095232, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770858299E9, 0.0, 2023-11-21 09:59:30.858
3.0, -1600.4296064888963, -1433.7526480856716, -3104.2549734419554, 1152.813572026917, 3490.4037106518404, 3370.8218778159476, 173.65070267328056, -4449.539416973522, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770862308E9, 0.0, 2023-11-21 09:59:30.862
4.0, -1593.9252488524019, -1426.7118485822498, -3103.6067728527514, 1151.6736330596964, 3487.967370506212, 3368.1396684813108, 171.5049352055711, -4446.812504149974, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770866336E9, 0.0, 2023-11-21 09:59:30.866
5.0, -1592.3829784849859, -1430.4892933951967, -3101.684522829595, 1153.3276621493892, 3488.995550751156, 3369.480773148629, 175.14826955178614, -4438.698820912698, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770870332E9, 0.0, 2023-11-21 09:59:30.870
6.0, -1629.531577769706, -1448.0577645370681, -3104.143214719679, 1157.172162195702, 3493.9129345313236, 3373.5264388950395, 174.79064164050124, -4449.651175695798, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770874323E9, 0.0, 2023-11-21 09:59:30.874
7.0, -1628.2575283357537, -1450.7623256161603, -3104.299676930866, 1161.5307523644867, 3501.7136933462257, 3381.8859913213246, 179.66332193175816, -4444.487922726622, -0.14, 0.122, 0.924, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770879345E9, 0.0, 2023-11-21 09:59:30.879
8.0, -1615.2711648072202, -1445.800238347082, -3105.238450197989, 1160.301406419445, 3500.260829956631, 3379.896686064802, 176.06469107445372, -4442.051582580993, -0.114, 0.032, 0.9520000000000001, 192.0, 252.0, 112.0, 1.0, 0.0, 29.0, 192.0, 0.0, 0.0, 0.0, 1.700578770883369E9, 0.0, 2023-11-21 09:59:30.883
9.0, -1606.1293013249997, -1437.1277614984228, -3100.499880373464, 1159.139115707769, 3496.438681654773, 3374.5322673955284, 169.91796134924428, -4444.644384937809, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057877088636E9, 0.0, 2023-11-21 09:59:30.886
10.0, -1600.2060890443433, -1437.0160027761465, -3101.461005385042, 1158.0662319739142, 3496.997475266156, 3375.940427296213, 173.00250208407667, -4439.302318012991, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770891371E9, 0.0, 2023-11-21 09:59:30.891
11.0, -1608.051551348156, -1447.4095639478642, -3109.6640956001397, 1154.199380183146, 3495.8798880433906, 3378.6002848863945, 174.88004861832246, -4439.637594179821, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770896414E9, 0.0, 2023-11-21 09:59:30.896
