%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
148.0, -1745.0230413702777, -1563.6609868599162, -3115.2743834584217, 1102.79036793594, 3100.5892873512853, 3326.721886005627, 237.0402499485314, -4592.76939544313, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057887073851E9, 0.0, 2023-11-21 10:01:10.738
149.0, -1730.1814830519538, -1545.824294784581, -3121.175243994623, 1108.7135802165963, 3109.9546682780588, 3335.550825065473, 244.14810468531905, -4585.393319772878, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578870738525E9, 0.0, 2023-11-21 10:01:10.738
150.0, -1741.335003535152, -1568.31014970662, -3138.207273269567, 1103.818548180884, 3108.4794531440084, 3333.248595386576, 242.18115117325203, -4588.679026207808, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578870738537E9, 0.0, 2023-11-21 10:01:10.738
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 4.0, 112.0, 3.0, 208.0, 29.0, 240.0, 0.0, 0.0, 0.0, 1.700578870824325E9, 0.0, 2023-11-21 10:01:10.824
1.0, -1575.0380247876674, -1491.286038313632, -3220.9534312431138, 1067.2063907630911, 3389.709101880682, 3424.3319540419525, 315.02548635309773, -4340.5746627539, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578870833356E9, 0.0, 2023-11-21 10:01:10.833
2.0, -1563.3033589486313, -1483.7535004321935, -3222.8309777773593, 1071.5202774429654, 3403.030741576045, 3431.3951052898296, 320.8145881670223, -4336.439590029668, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578870837354E9, 0.0, 2023-11-21 10:01:10.837
3.0, -1560.1964664693435, -1484.6922736993163, -3223.0321434774573, 1073.68839665513, 3403.7907008875254, 3428.5117302550952, 318.758227677134, -4335.500816762545, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578870841363E9, 0.0, 2023-11-21 10:01:10.841
4.0, -1558.6318443574721, -1478.2773230406433, -3212.750341028016, 1077.398786234711, 3405.6235439328607, 3432.266823323587, 319.49583524415914, -4333.600918483844, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057887084637E9, 0.0, 2023-11-21 10:01:10.846
5.0, -1563.6386351154608, -1476.310369528576, -3208.0788264368566, 1080.662140925186, 3407.5904974449277, 3435.9995646476227, 320.5910707224692, -4330.337563793369, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057887084937E9, 0.0, 2023-11-21 10:01:10.849
6.0, -1562.0740130035895, -1475.6845206838275, -3207.2071084031, 1079.656312424697, 3408.2386980341316, 3437.3630210593965, 322.69213470126806, -4330.471674260101, 0.14200000000000002, 0.122, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057887085242E9, 0.0, 2023-11-21 10:01:10.852
