%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
183.0, -1912.169386407064, -1580.022463801201, -3178.038081888924, 1126.8408449698502, 3363.579912612428, 3210.805739260404, 15.020372273966347, -4728.533891264665, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810434575E9, 0.0, 2023-11-21 10:00:10.434
184.0, -1903.0498746692986, -1564.085670004567, -3159.9555206245805, 1135.200397396135, 3369.413717915263, 3218.226518419566, 15.847386818812707, -4729.204443598323, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810434585E9, 0.0, 2023-11-21 10:00:10.434
185.0, -1903.072226413754, -1562.0740130035895, -3157.2286078010334, 1133.881644473272, 3369.19020047071, 3221.0204864764796, 24.005773544999784, -4732.467798288799, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810434594E9, 0.0, 2023-11-21 10:00:10.434
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.058, 0.11, 0.9520000000000001, 192.0, 254.0, 48.0, 3.0, 112.0, 29.0, 192.0, 0.0, 0.0, 0.0, 1.700578810528399E9, 0.0, 2023-11-21 10:00:10.528
1.0, -1660.1534676734768, -1482.1665265758666, -3051.571911760797, 1050.9119690551722, 3187.0905383933236, 3378.846154075403, 206.21719434466297, -4500.635504798353, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810545436E9, 0.0, 2023-11-21 10:00:10.545
2.0, -1654.5431798151947, -1480.668959697361, -3064.982958433981, 1044.8769980522393, 3191.359721584287, 3379.2931889645088, 208.47472053464898, -4498.579144308465, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810549441E9, 0.0, 2023-11-21 10:00:10.549
3.0, -1653.1573716589658, -1474.2987125275986, -3053.203589106034, 1050.9343207996276, 3197.7076170095943, 3382.8918198218134, 211.04517114700928, -4494.086443672949, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810552443E9, 0.0, 2023-11-21 10:00:10.552
4.0, -1661.405165362974, -1472.3094072710762, -3048.8449989372493, 1050.1520097436917, 3200.143957155223, 3382.6906541217154, 209.65936299078024, -4496.567487307488, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057881055746E9, 0.0, 2023-11-21 10:00:10.557
5.0, -1653.604406548072, -1462.966378088758, -3044.240539579456, 1046.3522131862894, 3198.4452245766192, 3382.4671366771627, 207.40183680079423, -4492.141841905337, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810560459E9, 0.0, 2023-11-21 10:00:10.560
6.0, -1662.5227525857392, -1472.9129043713695, -3054.276472839889, 1045.2346259635242, 3192.589067529329, 3379.896686064802, 205.18901409971883, -4495.673417529276, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810563461E9, 0.0, 2023-11-21 10:00:10.563
7.0, -1660.4440403513959, -1472.4882212267187, -3051.907187927626, 1047.9615387870717, 3195.2042216306, 3381.1707354987548, 208.8323484459339, -4493.393539594834, -0.058, 0.11, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810568487E9, 0.0, 2023-11-21 10:00:10.568
8.0, -1663.4391741084069, -1468.442555480308, -3039.0996383547354, 1053.8400475788173, 3202.8261664898596, 3388.0103693020787, 210.82165370245622, -4498.243868141636, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 255.0, 48.0, 4.0, 48.0, 29.0, 224.0, 0.0, 0.0, 0.0, 1.700578810572479E9, 0.0, 2023-11-21 10:00:10.572
9.0, -1667.4177846214516, -1470.5883229480175, -3038.0714581097914, 1051.6719283666525, 3198.713445510083, 3385.3058082229863, 210.1063978798864, -4499.69673153123, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810576491E9, 0.0, 2023-11-21 10:00:10.576
10.0, -1659.818191506647, -1470.2977502700985, -3050.1861036045675, 1050.1073062547812, 3197.685265265139, 3384.411738444774, 209.8828804353333, -4493.393539594834, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810580494E9, 0.0, 2023-11-21 10:00:10.580
11.0, -1651.3245286136305, -1460.5523896875848, -3039.6137284772076, 1060.277349981946, 3206.000114202513, 3392.525421682051, 217.16954912776342, -4488.096176158926, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810585504E9, 0.0, 2023-11-21 10:00:10.585
12.0, -1662.6792147969265, -1467.995520591202, -3039.7701906883945, 1060.6126261487755, 3198.422872832164, 3384.6352558893273, 207.11126412287524, -4506.134033934359, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810588504E9, 0.0, 2023-11-21 10:00:10.588
13.0, -1665.7861072762141, -1470.8341921370259, -3043.011193634414, 1053.9965097900044, 3192.007922173491, 3381.394252943308, 208.67588623474674, -4505.932868234261, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810591524E9, 0.0, 2023-11-21 10:00:10.591
14.0, -1659.8405432511024, -1473.6281601939393, -3055.148190873646, 1045.7487160859962, 3188.67751224965, 3379.1143750088663, 206.79833970050095, -4502.334237376957, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057881059652E9, 0.0, 2023-11-21 10:00:10.596
15.0, -1655.8619327380577, -1480.3560352749867, -3063.4630398110203, 1043.6700038516526, 3187.3811110712422, 3377.3038837079866, 205.50193852209313, -4501.08253968746, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810600547E9, 0.0, 2023-11-21 10:00:10.600
16.0, -1667.2613224102645, -1473.9410846163137, -3053.136533872668, 1050.9566725440827, 3192.1196808957675, 3382.713005866171, 208.5194240235596, -4503.3847693663565, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810604537E9, 0.0, 2023-11-21 10:00:10.604
17.0, -1659.2146944063538, -1457.736069886216, -3035.6127662197073, 1057.4163266916664, 3197.7299687540494, 3390.223192003154, 213.79443571501204, -4499.4508623422225, -0.026000000000000002, 0.134, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810608552E9, 0.0, 2023-11-21 10:00:10.608
18.0, -1656.532485071717, -1459.7477268871937, -3036.5515394868303, 1054.4435446791106, 3193.7960617299154, 3385.7975466010034, 207.55829901198138, -4498.109757674904, -0.01, 0.14, 0.9580000000000001, 192.0, 255.0, 176.0, 4.0, 96.0, 29.0, 240.0, 0.0, 0.0, 0.0, 1.700578810612552E9, 0.0, 2023-11-21 10:00:10.612
19.0, -1661.8969037409906, -1457.5572559305735, -3012.7692833863834, 1068.3910332192222, 3203.1390909122338, 3385.484622178629, 203.62439198784733, -4505.50818508961, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810616564E9, 0.0, 2023-11-21 10:00:10.616
20.0, -1656.9795199608232, -1458.2054565197775, -3020.4806352234646, 1064.4794779395436, 3201.01567518898, 3385.283456478531, 202.64091523181384, -4503.429472855267, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810619599E9, 0.0, 2023-11-21 10:00:10.619
21.0, -1660.2652263957534, -1487.4415382673192, -3066.882856712682, 1048.788553331918, 3194.779538485949, 3384.6576076337824, 204.56316525497024, -4496.589839051943, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810624586E9, 0.0, 2023-11-21 10:00:10.624
22.0, -1658.8794182395243, -1483.6864451988274, -3060.5126095429196, 1053.460067923077, 3195.159518141689, 3384.702311122693, 205.4348832887272, -4500.121414675881, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810628571E9, 0.0, 2023-11-21 10:00:10.628
23.0, -1657.6724240389376, -1468.0402240801125, -3036.1715598310902, 1057.8633615807726, 3195.159518141689, 3384.8140698449697, 206.84304318941156, -4499.808490253507, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810632588E9, 0.0, 2023-11-21 10:00:10.632
24.0, -1659.3264531286304, -1473.8516776384924, -3037.0879813537576, 1053.5271231564432, 3187.8728494492593, 3377.773270341548, 202.75267395409037, -4503.183603666259, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057881063668E9, 0.0, 2023-11-21 10:00:10.636
25.0, -1649.1340576570103, -1485.8769161554476, -3056.6681094966066, 1049.1461812432028, 3190.4656518060747, 3384.1882210002213, 208.05003738999815, -4496.388673351846, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810640674E9, 0.0, 2023-11-21 10:00:10.640
26.0, -1657.8065345056696, -1478.0314538516348, -3054.499990284442, 1052.9683295450604, 3196.0535879199015, 3393.553601926995, 212.6321450033361, -4497.863888485896, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057881064467E9, 0.0, 2023-11-21 10:00:10.644
27.0, -1659.2593978952646, -1473.2481805381992, -3048.1744466035902, 1053.884751067728, 3196.6570850201947, 3394.9841135721344, 213.86149094837796, -4497.260391385602, -0.01, 0.14, 0.9580000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578810647668E9, 0.0, 2023-11-21 10:00:10.647
28.0, -1661.919255485446, -1476.6009422064951, -3045.8498651802383, 1051.2025417330913, 3193.4831373075413, 3393.3971397158075, 209.94993566869923, -4500.948429220728, -0.002, 0.134, 0.9540000000000001, 192.0, 255.0, 240.0, 4.0, 48.0, 29.0, 208.0, 0.0, 0.0, 0.0, 1.700578810651704E9, 0.0, 2023-11-21 10:00:10.651
