%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
122.0, -1702.6664856274708, -1454.2268460067328, -2882.212744022935, 1199.2604970050452, 3199.2275356325554, 3412.731398669648, 190.97330462614354, -4557.990081070671, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830584731E9, 0.0, 2023-11-21 10:00:30.584
123.0, -1695.33511344613, -1448.2142267482552, -2876.602456164653, 1200.7580638835507, 3200.8592129777926, 3414.407779503796, 193.3649412828614, -4552.4021449568445, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830584745E9, 0.0, 2023-11-21 10:00:30.584
124.0, -1698.531412903239, -1441.6875173673056, -2872.467383440421, 1201.80859587295, 3202.8708699787703, 3414.1395585703326, 189.20751681417428, -4555.441982202767, 0.032, 0.03, 0.98, 192.0, 1.0, 0.0, 0.0, 240.0, 30.0, 160.0, 0.0, 0.0, 0.0, 1.700578830584754E9, 0.0, 2023-11-21 10:00:30.584
125.0, -1706.8015583517026, -1444.1015057684788, -2871.729775873396, 1207.1283110533132, 3206.715370025083, 3414.050151592511, 187.24056330210726, -4556.894845592362, 0.032, 0.03, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830584762E9, 0.0, 2023-11-21 10:00:30.584
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042, -0.022, 0.98, 192.0, 1.0, 80.0, 255.0, 80.0, 30.0, 160.0, 0.0, 0.0, 0.0, 1.700578830680206E9, 0.0, 2023-11-21 10:00:30.680
1.0, -1575.5074114212289, -1482.9711893762576, -3033.6458127076403, 1150.690156303663, 3161.318977036354, 3437.3406693149414, 257.76031705860106, -4413.262535722558, 0.042, -0.022, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830697253E9, 0.0, 2023-11-21 10:00:30.697
2.0, -1567.2372659727653, -1474.477526483241, -3023.632231191663, 1156.9709964956041, 3165.7669741829604, 3440.5593205165055, 259.6155118483915, -4410.647381621287, 0.042, -0.022, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830700301E9, 0.0, 2023-11-21 10:00:30.700
3.0, -1563.3257106930866, -1471.6165031929618, -3024.2580800364117, 1155.2275604280903, 3166.549285238896, 3441.408686805807, 257.35798565840554, -4409.328628698424, 0.042, -0.022, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830704251E9, 0.0, 2023-11-21 10:00:30.704
4.0, -1566.4549549168296, -1481.4959742422075, -3033.377591774177, 1147.9632434801154, 3158.5026572349857, 3435.6195849918827, 252.15002920031898, -4411.832024077418, 0.042, -0.022, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830708266E9, 0.0, 2023-11-21 10:00:30.708
5.0, -1575.3733009544972, -1482.0324161091348, -3029.8013126613278, 1151.4054121262327, 3157.6756426901393, 3438.190035604243, 255.30162516851726, -4410.2897537100025, 0.042, -0.022, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578830712303E9, 0.0, 2023-11-21 10:00:30.712
